"","latinSquare","faceGender","faceStyle","skinDetails","skinColor","hairColor","eyeColor","eyeShape","eyeOpening","eyeSize","eyeHeight","eyeDistance","eyeDepth","eyeRotation","eyebrowsColor","eyebrowsShape","eyebrowsLine","noseShape","noseLength","noseWidth","noseBridge","noseCartilage","foreheadHeight","cheeksBone","jawShape","jawChin","jawLength","throatSize","earSize","mouthVolume","lipRatio","mouthOverlap","mouthWidth","mouthHeight","mouthDepth","eyeShadow","lipStick","rouge"
"1","RobotM",1,0,0,0.32967032967033,0.291208791208791,0.153846153846154,0.879120879120879,0.423076923076923,0.56043956043956,0.5,0.5,0.5,0.505494505494505,0.5,0.21978021978022,0.895604395604396,0.494505494505495,0.384615384615385,0.434065934065934,0.43956043956044,0.395604395604396,0.620879120879121,0.593406593406593,0.401098901098901,0.620879120879121,0.615384615384615,0.692307692307692,0.565934065934066,0.456043956043956,0.472527472527472,0.401098901098901,0.412087912087912,0.5,0.527472527472527,0.0549450549450549,0,0.17032967032967
"2","SiriM",0.807692307692308,0,0.5,0.708791208791209,0.730769230769231,0.274725274725275,0.5,0.5,0.313186813186813,0.565934065934066,0.5,0.5,0.5,0.71978021978022,0.269230769230769,0.714285714285714,0.5,0.5,0.302197802197802,0.5,0.5,0.5,0.5,0.5,0.730769230769231,0.5,0.5,0.5,0.5,0.5,0.434065934065934,0.351648351648352,0.5,0.456043956043956,0,0,0
"3","AlexaF",0,0,0,0.653846153846154,1,0.703296703296703,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.17032967032967,0.21978021978022,0.318681318681319
"4","CortanaF",0,0,0,1,0.148351648351648,0.166666666666667,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.192307692307692,0.5,0.335164835164835,0.494505494505495,0.401098901098901,0.5,0.626373626373626,0.5,0.148351648351648,0.296703296703297,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.247252747252747,0.461538461538462,0.379120879120879
"5","GoogleF",0,0.67032967032967,0,0.5,0.807692307692308,0.166666666666667,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.43956043956044,0.510989010989011,0.598901098901099
"6","SiriM",1,0,0.401098901098901,0.730769230769231,0.467032967032967,0.989010989010989,0.703296703296703,0.346153846153846,0.384615384615385,0.615384615384615,0.401098901098901,0.5,0.5,0.807692307692308,0.571428571428571,0.291208791208791,0.598901098901099,0.362637362637363,0.373626373626374,0.483516483516484,0.39010989010989,0.434065934065934,0.576923076923077,0.17032967032967,0.543956043956044,0.5,0.56043956043956,0.324175824175824,0.428571428571429,0.620879120879121,0.5,0.494505494505495,0.510989010989011,0.554945054945055,0,0,0
"7","GoogleF",0.236263778183486,0.285714285714286,0,0.818681360601069,0.648351690271399,0.741758241758242,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.807692349612058,0.5,0.626373668293377,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.571428613348322,0.631868173787882,0.5,0.5,0.5,0.5,0,0.642857142857143,0
"8","GoogleF",0,0,0.357142857142857,0.467032967032967,0.340659340659341,0.148351648351648,0.637362637362637,0.373626373626374,0.538461538461538,0.615384615384615,0.461538461538462,0.412087912087912,0.340659340659341,0.28021978021978,0.576923076923077,0.752747252747253,0.423076923076923,0.60989010989011,0.362637362637363,0.423076923076923,0.692307692307692,0.384615384615385,0.56043956043956,0.43956043956044,0.428571428571429,0.543956043956044,0.43956043956044,0.401098901098901,0.565934065934066,0.582417582417582,0.664835164835165,0.401098901098901,0.543956043956044,0.456043956043956,0.181318681318681,0.0549450549450549,0.401098901098901
"9","SiriF",0.310989002605061,0,0.587912129831838,0.675824217743926,0.5,0.166666666666667,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.598901140820849,0.445054986974695,0.5,0.5,0.5,0.467033008952717,0.423076964996673,1,0.5,0.274725274725275,0.461538461538462,0.538461538461538,0.631868131868132,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0
"10","CortanaF",0.516483516483517,0,0.313186813186813,0.846153846153846,0.241758241758242,0.708791208791209,0.510989010989011,0.637362637362637,0.417582417582418,0.664835164835165,0.472527472527472,0.434065934065934,0.379120879120879,0.313186813186813,0.565934065934066,0.351648351648352,0.357142857142857,0.576923076923077,0.395604395604396,0.401098901098901,0.659340659340659,0.505494505494505,0.412087912087912,0.120879120879121,0.247252747252747,0.346153846153846,0.43956043956044,0.39010989010989,0.582417582417582,0.516483516483517,0.785714285714286,0.39010989010989,0.615384615384615,0.510989010989011,0.56043956043956,0,0
