"trialid";"latinSquare";"sessions";"userUID";"theAge";"theGender";"theCountry";"hasKnowledgeSmartSpeaker";"playingGames";"watchingMovies";"acceptTOU";"finalQuestion1";"finalQuestion2";"finalQuestion3";"finalQuestion4";"finalQuestion5";"finalQuestion6";"ipadress";"screenWidth";"screenHeight";"systemLanguage";"userLanguage";"cookies";"platform";"appCodeName";"appVersion";"product";"browser";"webgl";"timeDate";"timeWelcome";"timeStart";"timeEnd";"timeMainSessionTime";"timeDuration";"faceGender";"faceStyle";"skinDetails";"skinColor";"hairColor";"eyeColor";"eyeShape";"eyeOpening";"eyeSize";"eyeHeight";"eyeDistance";"eyeDepth";"eyeRotation";"eyebrowsColor";"eyebrowsShape";"eyebrowsLine";"noseShape";"noseLength";"noseWidth";"noseBridge";"noseCartilage";"foreheadHeight";"cheeksBone";"jawShape";"jawChin";"jawLength";"throatSize";"earSize";"mouthVolume";"lipRatio";"mouthOverlap";"mouthWidth";"mouthHeight";"mouthDepth";"eyeShadow";"lipStick";"rouge";"faceGenderRst";"faceStyleRst";"skinDetailsRst";"skinColorRst";"hairColorRst";"eyeColorRst";"eyeShapeRst";"eyeOpeningRst";"eyeSizeRst";"eyeHeightRst";"eyeDistanceRst";"eyeDepthRst";"eyeRotationRst";"eyebrowsColorRst";"eyebrowsShapeRst";"eyebrowsLineRst";"noseShapeRst";"noseWidthRst";"noseLengthRst";"noseBridgeRst";"noseCartilageRst";"foreheadHeightRst";"cheeksBoneRst";"jawShapeRst";"jawChinRst";"jawLengthRst";"throatSizeRst";"earSizeRst";"mouthVolumeRst";"lipRatioRst";"mouthOverlapRst";"mouthWidthRst";"mouthHeightRst";"mouthDepthRst";"eyeShadowRst";"lipStickRst";"rougeRst";"faceGenderClk";"faceStyleClk";"skinDetailsClk";"skinColorClk";"hairColorClk";"eyeColorClk";"eyeShapeClk";"eyeOpeningClk";"eyeSizeClk";"eyeHeightClk";"eyeDistanceClk";"eyeDepthClk";"eyeRotationClk";"eyebrowsColorClk";"eyebrowsShapeClk";"eyebrowsLineClk";"noseShapeClk";"noseLengthClk";"noseWidthClk";"noseBridgeClk";"noseCartilageClk";"foreheadHeightClk";"cheeksBoneClk";"jawShapeClk";"jawChinClk";"jawLengthClk";"earSizeClk";"throatSizeClk";"mouthVolumeClk";"lipRatioClk";"mouthOverlapClk";"mouthWidthClk";"mouthHeightClk";"mouthDepthClk";"eyeShadowClk";"lipStickClk";"rougeClk";"faceGenderMM";"faceStyleMM";"skinDetailsMM";"skinColorMM";"hairColorMM";"eyeColorMM";"eyeShapeMM";"eyeOpeningMM";"eyeSizeMM";"eyeHeightMM";"eyeDistanceMM";"eyeDepthMM";"eyeRotationMM";"eyebrowsColorMM";"eyebrowsShapeMM";"eyebrowsLineMM";"noseShapeMM";"noseLengthMM";"noseWidthMM";"noseBridgeMM";"noseCartilageMM";"foreheadHeightMM";"cheeksBoneMM";"jawShapeMM";"jawChinMM";"jawLengthMM";"earSizeMM";"throatSizeMM";"mouthVolumeMM";"lipRatioMM";"mouthOverlapMM";"mouthWidthMM";"mouthHeightMM";"mouthDepthMM";"eyeShadowMM";"lipStickMM";"rougeMM";"generalMoreBtnClicked";"eyesMoreBtnClicked";"eyebrowsMoreBtnClicked";"noseMoreBtnClicked";"mouthMoreBtnClicked";"makeUpMoreBtnClicked";"outerfaceMoreBtnClicked";"jawMoreBtnClicked";"mainResetClicked";"interfaceResetClicked";"lightsClicked";"todoMoreBtnClicked";"sendClicked"
"69";"F";"1";"81342539866213";"1988";"female";"0";"No";"0";"0";"1";"3";"3";"3";"1";"-2";"-2";"0";"1920";"966";"de";"de";"true";"Win32";"Netscape";"5.0 (Windows)";"Gecko";"Firefox 60.0";"true";"Wed Jul 17 2019 11:23:01 GMT 0200";"1563354782597";"1563354809005";"1563355381087";"572082";"598490";"1";"0";"0";"0.3296703296703296";"0.29120879120879123";"0.15384615384615385";"0.8791208791208791";"0.4230769230769231";"0.5604395604395604";"0.5";"0.5";"0.5";"0.5054945054945055";"0.5";"0.21978021978021978";"0.8956043956043956";"0.4945054945054945";"0.3846153846153847";"0.4340659340659341";"0.43956043956043955";"0.39560439560439564";"0.6208791208791209";"0.5934065934065934";"0.4010989010989011";"0.6208791208791209";"0.6153846153846154";"0.6923076923076923";"0.5659340659340659";"0.45604395604395603";"0.47252747252747246";"0.4010989010989011";"0.41208791208791207";"0.5";"0.5274725274725275";"0.054945054945054944";"0";"0.17032967032967034";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"8";"5";"2";"3";"1";"1";"1";"1";"0";"0";"0";"1";"1";"4";"3";"4";"1";"2";"3";"2";"3";"2";"1";"1";"2";"2";"1";"6";"1";"1";"2";"0";"1";"2";"2";"3";"5";"15";"17";"18";"16";"4";"7";"6";"8";"7";"9";"12";"8";"11";"17";"12";"13";"18";"22";"26";"22";"7";"9";"12";"13";"7";"8";"3";"18";"15";"8";"10";"4";"9";"3";"6";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1"
"70";"D";"2";"81342539866213";"1988";"female";"0";"No";"0";"0";"1";"2";"2";"1";"2";"-1";"2";"0";"1920";"966";"de";"de";"true";"Win32";"Netscape";"5.0 (Windows)";"Gecko";"Firefox 60.0";"true";"Wed Jul 17 2019 11:26:03 GMT 0200";"1563354782597";"1563355386615";"1563355563511";"176896";"780914";"0.8076923076923077";"0";"0.5";"0.7087912087912087";"0.7307692307692306";"0.27472527472527475";"0.5";"0.5";"0.3131868131868132";"0.5659340659340659";"0.5";"0.5";"0.5";"0.7197802197802197";"0.2692307692307692";"0.7142857142857143";"0.5";"0.5";"0.3021978021978022";"0.5";"0.5";"0.5";"0.5";"0.5";"0.7307692307692306";"0.5";"0.5";"0.5";"0.5";"0.5";"0.4340659340659341";"0.3516483516483517";"0.5";"0.45604395604395603";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1";"0";"2";"2";"2";"0";"0";"1";"1";"0";"0";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"4";"10";"10";"11";"12";"4";"9";"10";"8";"11";"6";"7";"6";"3";"7";"6";"0";"0";"2";"2";"1";"1";"4";"3";"5";"2";"2";"0";"2";"0";"4";"2";"4";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2"
"71";"A";"3";"81342539866213";"1988";"female";"0";"No";"0";"0";"1";"3";"2";"3";"-3";"-2";"3";"0";"1920";"966";"de";"de";"true";"Win32";"Netscape";"5.0 (Windows)";"Gecko";"Firefox 60.0";"true";"Wed Jul 17 2019 11:27:56 GMT 0200";"1563354782597";"1563355568470";"1563355676681";"108211";"894084";"0";"0";"0";"0.6538461538461539";"1";"0.7032967032967034";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.17032967032967034";"0.21978021978021978";"0.31868131868131866";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"1";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"2";"3";"6";"8";"8";"1";"2";"4";"3";"4";"6";"4";"6";"0";"1";"0";"4";"7";"2";"3";"3";"0";"6";"7";"5";"2";"0";"0";"3";"1";"2";"2";"2";"6";"3";"6";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"3"
"72";"C";"4";"81342539866213";"1988";"female";"0";"No";"0";"0";"1";"3";"3";"1";"-3";"3";"-2";"0";"1920";"966";"de";"de";"true";"Win32";"Netscape";"5.0 (Windows)";"Gecko";"Firefox 60.0";"true";"Wed Jul 17 2019 11:29:53 GMT 0200";"1563354782597";"1563355681281";"1563355793809";"112528";"1011212";"0";"0";"0";"1";"0.14835164835164835";"0.16666666666666666";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.19230769230769235";"0.5";"0.3351648351648351";"0.4945054945054945";"0.4010989010989011";"0.5";"0.6263736263736264";"0.5";"0.14835164835164835";"0.2967032967032967";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.24725274725274726";"0.4615384615384615";"0.3791208791208791";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"1";"0";"4";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"3";"1";"3";"4";"5";"3";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"2";"1";"2";"4";"5";"0";"2";"2";"4";"2";"0";"0";"1";"1";"3";"2";"3";"3";"1";"5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"4"
"73";"E";"5";"81342539866213";"1988";"female";"0";"No";"0";"0";"1";"0";"2";"1";"-3";"-3";"-3";"0";"1920";"966";"de";"de";"true";"Win32";"Netscape";"5.0 (Windows)";"Gecko";"Firefox 60.0";"true";"Wed Jul 17 2019 11:31:05 GMT 0200";"1563354782597";"1563355799180";"1563355865418";"66238";"1082821";"0";"0.6703296703296702";"0";"0.5";"0.8076923076923077";"0.16666666666666666";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.43956043956043955";"0.510989010989011";"0.5989010989010989";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"2";"6";"9";"5";"4";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"5"
"74";"D";"1";"58988019073835";"1994";"female";"0";"No";"0";"0";"1";"1";"1";"1";"2";"-3";"-2";"188.195.100.174";"1366";"654";"de";"de";"true";"Win32";"Netscape";"5.0 (Windows)";"Gecko";"Firefox 68.0";"true";"Wed Jul 17 2019 14:06:05 GMT 0200 (Mitte";"1563364345481";"1563364380257";"1563365165136";"784879";"819655";"1";"0";"0.4010989010989011";"0.7307692307692306";"0.467032967032967";"0.989010989010989";"0.7032967032967034";"0.34615384615384615";"0.3846153846153847";"0.6153846153846154";"0.4010989010989011";"0.5";"0.5";"0.8076923076923077";"0.5714285714285714";"0.29120879120879123";"0.5989010989010989";"0.3626373626373626";"0.37362637362637363";"0.4835164835164835";"0.39010989010989017";"0.4340659340659341";"0.5769230769230769";"0.17032967032967034";"0.5439560439560439";"0.5";"0.5604395604395604";"0.32417582417582413";"0.42857142857142855";"0.6208791208791209";"0.5";"0.4945054945054945";"0.510989010989011";"0.554945054945055";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"1";"1";"0";"0";"0";"1";"0";"0";"1";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"3";"1";"3";"1";"1";"2";"1";"0";"1";"1";"1";"1";"1";"2";"1";"1";"3";"2";"1";"1";"1";"2";"3";"2";"1";"2";"1";"1";"1";"0";"2";"2";"1";"1";"0";"0";"0";"4";"5";"11";"4";"7";"6";"4";"5";"3";"5";"5";"5";"5";"8";"5";"4";"7";"4";"4";"7";"3";"5";"11";"9";"6";"11";"9";"12";"5";"11";"8";"11";"6";"11";"10";"9";"11";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1"
"75";"E";"1";"71324404752338";"1996";"male";"0";"No";"0";"0";"1";"1";"1";"0";"-1";"1";"-1";"31.16.253.228";"1536";"754";"de-DE";"de";"true";"Win32";"Netscape";"5.0 (Windows NT";"Gecko";"Chrome 75.0.3770.142";"true";"Wed Jul 17 2019 14:14:02 GMT 0200 (Mitte";"1563365356087";"1563365397412";"1563365642827";"245415";"286740";"0.23626377818348643";"0.2857142857142857";"0";"0.8186813606010689";"0.6483516902713986";"0.7417582417582418";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.8076923496120578";"0.5";"0.6263736682933766";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5714286133483216";"0.6318681737878821";"0.5";"0.5";"0.5";"0.5";"0";"0.6428571428571429";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"3";"2";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"2";"6";"8";"5";"9";"5";"4";"5";"3";"3";"1";"3";"2";"1";"2";"1";"1";"2";"2";"1";"2";"0";"3";"3";"2";"3";"0";"0";"2";"2";"3";"2";"0";"1";"0";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1"
"76";"E";"2";"58988019073835";"1994";"female";"0";"No";"0";"0";"1";"2";"1";"1";"-3";"-3";"1";"188.195.100.174";"1366";"654";"de";"de";"true";"Win32";"Netscape";"5.0 (Windows)";"Gecko";"Firefox 68.0";"true";"Wed Jul 17 2019 14:16:00 GMT 0200 (Mitte";"1563364345481";"1563365179149";"1563365760264";"581115";"1414783";"0";"0";"0.35714285714285715";"0.467032967032967";"0.34065934065934067";"0.14835164835164835";"0.6373626373626373";"0.37362637362637363";"0.5384615384615384";"0.6153846153846154";"0.4615384615384615";"0.41208791208791207";"0.34065934065934067";"0.2802197802197802";"0.5769230769230769";"0.7527472527472527";"0.4230769230769231";"0.6098901098901099";"0.3626373626373626";"0.4230769230769231";"0.6923076923076923";"0.3846153846153847";"0.5604395604395604";"0.43956043956043955";"0.42857142857142855";"0.5439560439560439";"0.43956043956043955";"0.4010989010989011";"0.5659340659340659";"0.5824175824175825";"0.6648351648351648";"0.4010989010989011";"0.5439560439560439";"0.45604395604395603";"0.1813186813186813";"0.054945054945054944";"0.4010989010989011";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"2";"3";"2";"1";"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"2";"1";"1";"1";"1";"1";"2";"1";"1";"1";"2";"1";"1";"2";"1";"1";"1";"1";"1";"1";"1";"1";"2";"4";"13";"4";"10";"5";"7";"4";"6";"6";"5";"4";"5";"3";"2";"1";"2";"3";"1";"2";"3";"2";"4";"7";"5";"6";"4";"4";"4";"7";"6";"3";"3";"4";"9";"6";"8";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2"
"77";"B";"2";"71324404752338";"1996";"male";"0";"No";"0";"0";"1";"-1";"1";"1";"-1";"0";"0";"31.16.253.228";"1536";"754";"de-DE";"de";"true";"Win32";"Netscape";"5.0 (Windows NT";"Gecko";"Chrome 75.0.3770.142";"true";"Wed Jul 17 2019 14:16:56 GMT 0200 (Mitte";"1563365356087";"1563365656357";"1563365816596";"160239";"460509";"0.31098900260506096";"0";"0.587912129831838";"0.675824217743926";"0.5";"0.16666666666666666";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5989011408208491";"0.4450549869746952";"0.5";"0.5";"0.5";"0.46703300895271727";"0.42307696499667324";"1";"0.5";"0.27472527472527475";"0.4615384615384615";"0.5384615384615384";"0.6318681318681318";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0.5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"1";"1";"0";"1";"1";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"2";"1";"1";"2";"4";"1";"1";"1";"0";"0";"1";"1";"2";"1";"1";"1";"3";"1";"3";"0";"5";"3";"2";"4";"0";"0";"1";"3";"2";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2"
"78";"C";"1";"54832544243943";"1997";"female";"0";"No";"0";"0";"1";"2";"2";"2";"-1";"-2";"2";"91.3.95.164";"1280";"584";"de";"de";"true";"Win32";"Netscape";"5.0 (Windows)";"Gecko";"Firefox 68.0";"true";"Wed Jul 17 2019 16:36:05 GMT 0200 (Mitte";"1563373863593";"1563373915295";"1563374165435";"250140";"301842";"0.5164835164835165";"0";"0.3131868131868132";"0.8461538461538461";"0.24175824175824176";"0.7087912087912087";"0.510989010989011";"0.6373626373626373";"0.4175824175824176";"0.6648351648351648";"0.47252747252747246";"0.4340659340659341";"0.3791208791208791";"0.3131868131868132";"0.5659340659340659";"0.3516483516483517";"0.35714285714285715";"0.5769230769230769";"0.39560439560439564";"0.4010989010989011";"0.6593406593406592";"0.5054945054945055";"0.41208791208791207";"0.12087912087912088";"0.24725274725274726";"0.34615384615384615";"0.43956043956043955";"0.39010989010989017";"0.5824175824175825";"0.5164835164835165";"0.7857142857142857";"0.39010989010989017";"0.6153846153846154";"0.510989010989011";"0.5604395604395604";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"2";"1";"1";"1";"1";"1";"1";"2";"1";"3";"3";"3";"3";"2";"2";"3";"2";"2";"2";"1";"3";"2";"2";"1";"2";"1";"1";"3";"2";"2";"1";"1";"2";"2";"2";"2";"2";"3";"2";"2";"3";"2";"2";"1";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1"
